,Gini
alpha-P1_pbs-1,0.010442796092796093
TP-P0_egl-4,0.010438328338328338
alpha-AB_cox-6A,0.010428392903392902
TP-P2_akir-1,0.010424631479631479
TP-AB_Y57E12AL.1,0.01041500666000666
TP-AB_mdt-22,0.01040933555760479
TP-P2_swsn-6,0.010402172065407361
TP-ABa_C13F10.7,0.01039713113683702
alpha-P2_F09G2.8,0.010377013727013726
TP-ABa_F30F8.1,0.010369235260679111
TP-AB_rfc-4,0.010363335622710624
TP-P0_pam-1,0.010359838606905914
alpha-AB_cdk-5,0.01035816215115935
TP-ABa_T07F12.2,0.010356623496329377
alpha-ABa_W04D2.4,0.010352730754979557
TP-P2_vps-39,0.010352526177526175
TP-P0_fbxc-50,0.010344918636646577
alpha-P1_bet-1,0.010343118363118364
alpha-P1_pos-1,0.010336772382029735
TP-P2_polk-1,0.010334357309357311
alpha-ABa_ndc-80,0.01032064035093447
TP-P1_dlat-1,0.010315052104757987
alpha-P2_mex-1,0.010314264487274868
TP-P1_math-33,0.010299412961765902
TP-AB_C27F2.10,0.010262661988589591
TP-P0_rpn-9,0.01022243643150883
TP-ABa_skr-17,0.010221213416213416
TP-AB_tbb-2,0.010214251901944211
TP-ABa_spsb-2,0.010179035561388503
TP-P1_mecr-1,0.010171731046731048
alpha-diff_vps-20,0.01014782856032856
TP-P1_dars-1,0.010146455620948316
TP-ABa_rpl-12,0.010135882635882637
alpha-ABa_gut-2,0.010123757807848716
TP-P0_taf-13,0.01011166257489787
TP-AB_apc-10,0.01009828499673701
alpha-diff_nuo-1,0.010087926610426609
alpha-P2_mfsd-13.1,0.010087567171669734
TP-ABa_rsp-5,0.010085582921352153
alpha-P1_nse-4,0.010067104747104748
alpha-diff2_F52A8.1,0.010059946328181623
TP-P0_pbs-3,0.01003624190586741
TP-P0_prp-38,0.010035876345876346
TP-P0_ska-3,0.010004660404117419
alpha-diff_Y18D10A.11,0.009983565998271882
alpha-P2_jhdm-1,0.009959670238530532
TP-P2_C08F8.3,0.009931455211455211
alpha-P1_dnj-23,0.009925996715702597
alpha-P2_larp-5,0.009883708606208607
alpha-ABa_cpf-2,0.009869106301947211
TP-ABa_T20F10.2,0.009853052503052503
alpha-ABa_Y65B4BL.4,0.009836801046176047
alpha-diff_hil-4,0.009821418396418395
TP-AB_gmpr-1,0.009800918689153984
TP-AB_gna-2,0.00979917531186762
alpha-diff_vps-25,0.009788405818167723
alpha-P2_C30F12.4,0.009780723619814528
TP-P1_puf-11,0.009779613450522542
TP-AB_nep-1,0.00977287056834568
alpha-P2_C16C10.4,0.009733584797555386
alpha-P1_K02C4.3,0.009722593063502155
